iter	Passed	Remaining
901	16139	1753
902	16157	1735
903	16177	1717
904	16194	1699
905	16211	1681
906	16229	1664
907	16247	1646
908	16267	1628
909	16284	1610
910	16303	1592
911	16320	1574
912	16340	1557
913	16358	1539
914	16375	1521
915	16396	1503
916	16415	1485
917	16433	1467
918	16452	1450
919	16469	1432
920	16489	1414
921	16507	1396
922	16525	1378
923	16543	1360
924	16561	1342
925	16580	1324
926	16598	1307
927	16615	1289
928	16633	1271
929	16654	1253
930	16672	1235
931	16690	1217
932	16708	1199
933	16727	1181
934	16744	1164
935	16763	1146
936	16781	1128
937	16800	1110
938	16818	1092
939	16836	1074
940	16854	1056
941	16872	1038
942	16889	1020
943	16906	1002
944	16923	984
945	16944	967
946	16962	949
947	16980	931
948	16997	913
949	17015	895
950	17037	877
951	17055	859
952	17074	842
953	17091	824
954	17109	806
955	17127	788
956	17145	770
957	17165	752
958	17182	734
959	17200	716
960	17218	698
961	17235	680
962	17253	662
963	17273	645
964	17290	627
965	17309	609
966	17326	591
967	17345	573
968	17363	555
969	17381	537
970	17399	519
971	17417	501
972	17438	483
973	17455	465
974	17472	448
975	17490	430
976	17508	412
977	17526	394
978	17544	376
979	17562	358
980	17581	340
981	17599	322
982	17617	304
983	17635	286
984	17653	268
985	17671	250
986	17688	232
987	17705	215
988	17723	197
989	17741	179
990	17759	161
991	17776	143
992	17794	125
993	17812	107
994	17833	89
995	17851	71
996	17869	53
997	17886	35
998	17905	17
999	17922	0
